Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au	distance
199	-0.4659347167968747	0.221	0.462	0.28	0.0	0.0	0.037	0.0	0.0	0.34896792811710486
200	-0.7625562988281261	0.695	0.0	0.081	0.0	0.224	0.0	0.0	0.0	0.20694826917820694
201	-0.94136376953125	0.212	0.0	0.0	0.0	0.223	0.0	0.295	0.27	0.08938307726118791
202	-0.8533796289062461	0.243	0.0	0.0	0.0	0.148	0.0	0.608	0.001	0.1816961211604986
203	-0.9154833398437491	0.255	0.0	0.0	0.0	0.0	0.0	0.533	0.212	0.10678369667320603
204	-0.9290314746093739	0.207	0.0	0.0	0.0	0.137	0.0	0.415	0.241	0.08714984119875648
205	-0.2775359667968745	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.55	0.20347034590802676
206	-0.7317019042968772	0.171	0.0	0.0	0.0	0.286	0.224	0.0	0.319	0.22895190034941662
207	-0.867286503906251	0.225	0.0	0.0	0.0	0.178	0.149	0.272	0.176	0.0764933683342639
208	-0.652075732421874	0.281	0.0	0.51	0.0	0.0	0.0	0.208	0.001	0.2772407716691485
209	-1.0063513867187481	0.391	0.052	0.0	0.019	0.0	0.144	0.18	0.214	0.016417954927942978
210	-1.0242542480468717	0.375	0.051	0.027	0.0	0.0	0.14	0.173	0.234	0.01713774057675976
211	-0.6419664062499983	0.163	0.0	0.411	0.0	0.0	0.0	0.0	0.426	0.28519756495813375
212	-0.432989023437499	0.111	0.02	0.244	0.0	0.355	0.27	0.0	0.0	0.38126429057140787
213	-0.5636714257812515	0.289	0.0	0.424	0.286	0.0	0.0	0.0	0.001	0.3348352260374622
214	-0.35943951171874955	0.114	0.0	0.012	0.654	0.0	0.032	0.188	0.0	0.5132387099725392
215	-0.5584044042968754	0.218	0.025	0.268	0.0	0.0	0.489	0.0	0.0	0.36936832005284503
216	-0.5630684960937509	0.206	0.151	0.0	0.0	0.642	0.0	0.0	0.001	0.5224410536550683
217	-0.49437527343750093	0.205	0.022	0.01	0.121	0.0	0.0	0.641	0.001	0.21128140502515408
218	-0.7694192089843759	0.276	0.0	0.0	0.0	0.19	0.0	0.0	0.534	0.11240105109020723
219	-0.48362447265625186	0.149	0.0	0.0	0.235	0.0	0.615	0.0	0.001	0.5137818549942343
220	-0.5489846093750016	0.236	0.157	0.014	0.022	0.009	0.561	0.001	0.0	0.3758554415436834
221	-0.9340209179687499	0.858	0.0	0.0	0.001	0.002	0.0	0.139	0.0	0.22550119448392708
222	-0.4484465332031267	0.264	0.209	0.236	0.0	0.0	0.291	0.0	0.0	0.2273140923666024
223	-0.34895510742187524	0.084	0.0	0.713	0.203	0.0	0.0	0.0	0.0	0.7097551784091995
224	-0.6542835937499996	0.372	0.0	0.46	0.0	0.168	0.0	0.0	0.0	0.3019150920034407
225	-1.027819921874997	0.371	0.049	0.0	0.0	0.03	0.138	0.177	0.235	0.01677432694616627
226	-0.6970410351562508	0.709	0.155	0.0	0.0	0.136	0.0	0.0	0.0	0.1897706534910371
227	-0.47939043945312765	0.276	0.0	0.02	0.422	0.281	0.0	0.0	0.001	0.3343703880097092
228	-0.9335706640624973	0.29	0.0	0.0	0.0	0.0	0.106	0.401	0.203	0.04284735358435607
229	-0.9330008691406212	0.198	0.0	0.0	0.0	0.0	0.472	0.328	0.002	0.23876218556677628
230	-0.9608915722656242	0.305	0.0	0.0	0.0	0.128	0.0	0.325	0.242	0.03401501660892601
231	-0.18119841796874958	0.059	0.0	0.334	0.303	0.305	0.0	0.0	-0.001	0.47234963947313435
232	-0.9359323437499971	0.179	0.0	0.0	0.0	0.0	0.346	0.334	0.141	0.15414728912214212
233	-0.4449546093750016	0.116	0.0	0.0	0.235	0.0	0.362	0.286	0.001	0.24425960631517651
234	-0.45193463867187533	0.204	0.0	0.209	0.507	0.036	0.045	0.0	-0.001	0.39973363668932815
235	-0.1927252636718749	0.02	0.052	0.0	0.0	0.275	0.653	0.0	0.0	0.6586819112417786
236	-0.3700677441406244	0.186	0.218	0.36	0.0	0.236	0.0	0.0	0.0	0.3230392965696718
237	-0.43056274414062407	0.133	0.0	0.418	0.0	0.198	0.0	0.252	-0.001	0.2863080069482909
238	-0.21586393554687494	0.018	0.0	0.013	0.312	0.312	0.0	0.344	0.001	0.35172223386972756
239	-0.7754454980468765	0.35	0.0	0.07	0.004	0.575	0.0	0.0	0.001	0.3991880283542857
240	-0.5359347656250016	0.374	0.0	0.0	0.17	0.451	0.0	0.006	-0.001	0.29142526038229966
241	-0.9159998925781279	0.566	0.0	0.0	0.0	0.119	0.0	0.107	0.208	0.06366204349542604
242	-0.47931102539062626	0.186	0.0	0.0	0.365	0.0	0.0	0.0	0.449	0.2394997142693494
243	-0.9188087207031214	0.243	0.0	0.0	0.0	0.0	0.142	0.614	0.001	0.17419481782712307
244	-0.30372091796875045	0.212	0.276	0.178	0.335	0.0	0.0	0.0	-0.001	0.2956065373605725
245	-0.5438240429687513	0.228	0.189	0.36	0.0	0.0	0.0	0.223	0.0	0.18308443381176606
246	-0.8680145605468776	0.901	0.0	0.013	0.0	0.072	0.013	0.0	0.001	0.32010012688189216
247	-0.16455769531249953	0.0	0.018	0.161	0.0	0.759	0.0	0.062	0.0	0.7946300076600997
248	-0.924678544921874	0.282	0.0	0.0	0.0	0.0	0.466	0.251	0.001	0.2005573033569543
249	-0.9904955664062454	0.371	0.037	0.034	0.0	0.09	0.0	0.213	0.255	0.01202156897663488
250	-0.9843812792968736	0.568	0.004	0.0	0.065	0.0	0.117	0.245	0.001	0.04130470889968913
251	-0.15864668945312488	0.0	0.481	0.295	0.0	0.0	0.0	0.224	0.0	0.44347365384030746
252	-0.7411400000000009	0.501	0.0	0.11	0.0	0.0	0.295	0.094	0.0	0.11370355373517041
253	-0.8665474121093709	0.292	0.0	0.0	0.0	0.34	0.0	0.367	0.001	0.14464715691175595
254	-0.9518008789062519	0.418	0.038	0.0	0.0	0.231	0.0	0.111	0.202	0.07250464929457859
255	-0.6933952441406234	0.301	0.0	0.0	0.111	0.201	0.0	0.387	0.0	0.08548792741291242
256	-0.7517647167968735	0.147	0.0	0.0	0.0	0.323	0.0	0.324	0.206	0.17611718685327293
257	-0.7060086035156256	0.571	0.063	0.103	0.0	0.184	0.079	0.0	0.0	0.13644626475550226
258	-0.6962733789062492	0.233	0.11	0.0	0.0	0.18	0.234	0.243	0.0	0.10439036241642141
259	-1.0270120605468738	0.349	0.031	0.0	0.0	0.12	0.0	0.22	0.28	0.01857966856424314
