Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
244	-0.8667609960937503	0.524	0.0	0.0	0.0	0.475	0.0	0.0	0.001
245	-0.9031590234374954	0.279	0.052	0.0	0.0	0.0	0.104	0.422	0.143
246	-0.6999886230468769	0.565	0.139	0.024	0.0	0.0	0.22	0.053	-0.001
247	-1.0365141992187477	0.427	0.047	0.0	0.035	0.0	0.021	0.201	0.269
248	-0.8045588964843741	0.232	0.0	0.0	0.0	0.367	0.206	0.195	0.0
249	-0.20149333984374984	0.0	0.0	0.0	0.322	0.0	0.678	0.0	0.0
250	-0.7694660253906261	0.862	0.041	0.086	0.0	0.012	0.0	0.0	-0.001
251	-0.9173217578125026	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.293
252	-0.8717029980468763	0.414	0.0	0.0	0.0	0.209	0.087	0.072	0.218
253	-0.7678622558593743	0.474	0.0	0.353	0.0	0.0	0.0	0.173	0.0
254	-1.0365141992187477	0.427	0.048	0.0	0.035	0.0	0.02	0.2	0.27
255	-0.5053641796875026	0.311	0.011	0.0	0.38	0.281	0.016	0.0	0.001
256	-0.6950252636718751	0.444	0.337	0.0	0.0	0.082	0.057	0.08	0.0
257	-0.8785382421874958	0.315	0.0	0.0	0.02	0.262	0.036	0.369	-0.002
258	-0.09413709960937516	0.011	0.604	0.104	0.017	0.183	0.042	0.007	0.032
259	-0.7644190527343726	0.286	0.395	0.0	0.0	0.0	0.018	0.301	0.0
260	-0.44037359374999957	0.427	0.171	0.007	0.144	0.168	0.01	0.005	0.068
261	-0.9070333496093763	0.559	0.0	0.0	0.0	0.0	0.33	0.112	-0.001
262	-0.9650613769531207	0.512	0.007	0.026	0.0	0.05	0.128	0.277	0.0
263	-0.5481797753906248	0.254	0.013	0.257	0.471	0.0	0.005	0.0	0.0
264	-0.20293251953125022	0.045	0.038	0.042	0.024	0.288	0.076	0.008	0.479
265	-1.037035380859373	0.425	0.049	0.0	0.037	0.0	0.02	0.194	0.275
266	-0.6032118554687502	0.372	0.133	0.053	0.013	0.113	0.298	0.009	0.009
267	-0.4343229101562499	0.102	0.0	0.32	0.0	0.388	0.005	0.186	-0.001
268	-0.5284223535156259	0.302	0.02	0.163	0.011	0.282	0.162	0.005	0.055
269	-0.752523945312495	0.362	0.0	0.173	0.0	0.047	0.0	0.417	0.001
270	-0.9016705078124995	0.681	0.062	0.0	0.0	0.18	0.0	0.077	0.0
271	-0.6135114648437527	0.162	0.239	0.003	0.044	0.321	0.003	0.214	0.014
272	-0.34992328125000094	0.173	0.077	0.001	0.531	0.107	0.002	0.109	0.0
273	-0.1732149804687493	0.025	0.008	0.263	0.004	0.423	0.263	0.01	0.004
274	-0.9393560546874978	0.689	0.0	0.0	0.0	0.075	0.0	0.236	0.0
275	-0.9544160449218717	0.533	0.022	0.0	0.0	0.165	0.089	0.19	0.001
276	-1.036868886718748	0.425	0.049	0.0	0.036	0.0	0.019	0.195	0.276
277	-1.0409989453124988	0.436	0.057	0.0	0.0	0.0	0.0	0.133	0.374
278	-0.40510736328125085	0.244	0.172	0.132	0.003	0.308	0.012	0.063	0.066
279	-0.9477226562499964	0.589	0.076	0.008	0.029	0.053	0.019	0.143	0.083
280	-0.1675848339843741	0.027	0.007	0.345	0.002	0.524	0.003	0.013	0.079
281	-0.9429565917968734	0.526	0.003	0.019	0.065	0.039	0.177	0.135	0.036
282	-0.49412743164062733	0.257	0.374	0.006	0.112	0.003	0.062	0.179	0.007
283	-0.9539450390624973	0.533	0.012	0.0	0.078	0.021	0.119	0.236	0.001
284	-1.0125108398437486	0.446	0.06	0.0	0.017	0.0	0.0	0.139	0.338
285	-0.7995664648437526	0.6	0.003	0.098	0.083	0.0	0.074	0.133	0.009
286	-0.4941022460937512	0.199	0.013	0.003	0.148	0.455	0.053	0.108	0.021
287	-0.9473215527343717	0.55	0.038	0.0	0.032	0.083	0.09	0.207	0.0
288	-0.9751449609375014	0.66	0.0	0.0	0.0	0.0	0.0	0.126	0.214
289	-0.7058009082031249	0.191	0.275	0.022	0.0	0.011	0.026	0.209	0.266
290	-0.10329950195312484	0.015	0.288	0.023	0.02	0.01	0.014	0.009	0.621
291	-0.9753415917968696	0.454	0.037	0.0	0.0	0.121	0.218	0.17	0.0
292	-0.5373908984375014	0.121	0.35	0.014	0.006	0.041	0.26	0.188	0.02
293	-0.20870424804687418	0.011	0.004	0.706	0.045	0.04	0.008	0.185	0.001
294	-0.1640935253906251	0.037	0.031	0.01	0.486	0.349	0.012	0.041	0.034
295	-1.0200172265624974	0.408	0.056	0.0	0.0	0.0	0.0	0.143	0.393
296	-0.310462460937498	0.101	0.201	0.373	0.007	0.03	0.08	0.207	0.001
297	-0.8904050683593772	0.461	0.0	0.0	0.0	0.0	0.305	0.063	0.171
298	-0.11966458007812547	0.036	0.623	0.008	0.056	0.025	0.017	0.215	0.02
299	-0.17907519531250018	0.011	0.22	0.012	0.334	0.031	0.008	0.346	0.038
300	-0.8946936914062498	0.581	0.034	0.007	0.007	0.157	0.148	0.015	0.051
